solvent1,solvent2,GE_RT_x05,gamma1_inf,gamma2_inf
1-Butanol,1-Hexanol,0.0026356667072957,1.0092407442071267,1.0123225291339233
1-Butanol,1-Octanol,0.0083989797849887,1.027653831082753,1.044416268797365
1-Butanol,Acetic acid,-0.2457325710397661,0.48378657451597,0.3629689623609938
1-Butanol,Acetone,0.0467030071608174,1.467252502337602,1.0566108553990765
1-Butanol,Acetonitrile,0.3608432832245235,6.854012946201263,3.518082558586768
1-Butanol,Carbon tetrachloride,0.359611957370623,51.62909889353069,3.0518103406657957
1-Butanol,Chloroform,-0.6961726836330102,0.1332619194975365,0.0831552949412605
1-Butanol,DMF,-0.2360609519120688,0.4625791843411017,0.2501708240685115
1-Butanol,DMSO,-0.5435601909594497,0.2040102274327806,0.0329891903580747
1-Butanol,Dichloromethane,-0.1588363936060987,2.014436209821725,0.3676633727811481
1-Butanol,Diethyl ether,0.008322964101712,1.1258236058625846,0.9968191028511436
1-Butanol,Dioxane,-0.0112237024103019,1.114765136703748,0.8005151038057193
1-Butanol,Ethyl acetate,0.1328530847591383,2.420202633052344,1.4776143636710444
1-Butanol,Methyl acetate,0.1625917640270232,2.8577774087404637,1.6623757445032747
1-Butanol,NMP,-0.3884892524712761,0.2929091803072308,0.1117661195493977
1-Butanol,THF,-0.1962375336299599,0.4538212598633339,0.4622312626684328
1-Butanol,Water,0.4538020686698674,70.40517803134546,3.388079550339604
1-Hexanol,1-Octanol,0.0017144819076317,1.00630754920606,1.0075488311380416
1-Hexanol,Acetic acid,-0.1860377926053511,0.7542245329772096,0.4205212154073181
1-Hexanol,Acetone,0.0283805727414142,1.360134886819341,0.9726622517426888
1-Hexanol,Acetonitrile,0.4023760590087406,10.216535743423837,3.6423116954733152
1-Hexanol,Carbon tetrachloride,0.2732308728220715,36.842870675992586,2.160357388623277
1-Hexanol,Chloroform,-0.7412182736468972,0.0943350519486188,0.0766704153572202
1-Hexanol,DMF,-0.2376661935531285,0.4470466722832482,0.2484589275088952
1-Hexanol,DMSO,-0.4938011785901817,0.230573993570697,0.0381020859456994
1-Hexanol,Dichloromethane,-0.1838039539482893,1.6071340583473277,0.3747002012782424
1-Hexanol,Diethyl ether,-0.0533973509882242,0.8680192376509552,0.7938020506770558
1-Hexanol,Dioxane,-0.0253103786376005,1.0658813194402228,0.7471630959762732
1-Hexanol,Ethyl acetate,0.1105792134291311,2.24960333995481,1.3312092514197091
1-Hexanol,Methyl acetate,0.1482118219602342,2.7716237373559727,1.5257010362025707
1-Hexanol,NMP,-0.4038229001751888,0.2689173686507953,0.1081067597695105
1-Hexanol,THF,-0.253558618336927,0.3458467501119778,0.3828187923269033
1-Hexanol,Water,0.6056706514685002,720.6376192103132,4.878347973067432
1-Octanol,Acetic acid,-0.1297339841856073,1.2348399503498395,0.4796134561608852
1-Octanol,Acetone,0.0078709093876612,1.2232871940033292,0.897213560042033
1-Octanol,Acetonitrile,0.4272073849731103,14.731964757765825,3.615501699906618
1-Octanol,Carbon tetrachloride,0.2002667860201311,25.57725752870645,1.6771552185829468
1-Octanol,Chloroform,-0.7728366629876118,0.0707585936068432,0.0728858237966237
1-Octanol,DMF,-0.2440887500007392,0.4235526535356856,0.2437696835043635
1-Octanol,DMSO,-0.4561718307295223,0.259384857764024,0.0414424826519973
1-Octanol,Dichloromethane,-0.2058396783049489,1.2888579475315811,0.3755076042845152
1-Octanol,Diethyl ether,-0.1074595660058963,0.6527481549838625,0.667376654293369
1-Octanol,Dioxane,-0.0421044394981869,0.9929607132935068,0.6982998232256789
1-Octanol,Ethyl acetate,0.0871821107001361,2.0195724820978835,1.2090742338175375
1-Octanol,Methyl acetate,0.130566998556575,2.5938788390833944,1.3997259422514918
1-Octanol,NMP,-0.421063586652353,0.2427616152267903,0.1046775646479933
1-Octanol,THF,-0.3040394507510838,0.2589986896871058,0.3310732509406874
1-Octanol,Water,0.7309533575068717,7717.859188714576,6.585774537155884
2-Propanol,1-Butanol,-0.0018943755903046,0.9923320936519096,0.9926353914781776
2-Propanol,1-Hexanol,0.0023521258833654,1.005707447811525,1.0153104434094982
2-Propanol,1-Octanol,0.0087990782895424,1.0241734950272086,1.058192131771861
2-Propanol,Acetic acid,-0.3404295831452611,0.319008748026986,0.2656672264433902
2-Propanol,Acetone,0.0797515642095938,1.711759975395783,1.2185799700936222
2-Propanol,Acetonitrile,0.3439548544683563,6.009451442619934,3.5245321970324555
2-Propanol,Carbon tetrachloride,0.4037695139242615,55.59728801764241,3.7835822452306256
2-Propanol,Chloroform,-0.7242542149664494,0.1291554526837507,0.0753461743714759
2-Propanol,DMF,-0.1877707955495072,0.5533097075584739,0.3180883098478706
2-Propanol,DMSO,-0.4910628433801674,0.2369916020512003,0.0472953207836543
2-Propanol,Dichloromethane,-0.1633372485039291,2.02607452377824,0.3318938491010715
2-Propanol,Diethyl ether,0.0668802567369393,1.4659403717766957,1.252422554702422
2-Propanol,Dioxane,0.0256576410550666,1.2935391439023272,0.9496376431932538
2-Propanol,Ethyl acetate,0.160991960207521,2.7467590276036558,1.6845701337938286
2-Propanol,Methyl acetate,0.1850339126715257,3.166805528612739,1.8592751505745215
2-Propanol,NMP,-0.3249116921838105,0.3627908324554186,0.1516538962280053
2-Propanol,THF,-0.1265536944134098,0.6115209969709824,0.5954644184637563
2-Propanol,Water,0.3316105196658258,20.50251994990109,2.3767338012338315
Acetic acid,Water,-0.0371384507341648,1.5226388263643738,0.5543172774822058
Acetone,Acetic acid,-0.4555560300060625,0.1961419636711987,0.1556315907047939
