solvent1,solvent2,T_K,T_C,x1_phase1,x1_phase2
Octane,Acetonitrile,373.15,100.0,0.01512088,0.882925
Octane,Acetonitrile,398.15,125.0,0.02213969,0.83455563
Octane,DMF,298.15,25.0,0.24721947,0.78906354
Octane,DMF,323.15,50.0,0.3550673,0.64324793
Octane,DMSO,298.15,25.0,0.06426165,0.9849733
Octane,DMSO,323.15,50.0,0.07213446,0.9735422
Octane,DMSO,348.15,75.0,0.0828326,0.956766
Octane,DMSO,373.15,100.0,0.09682494,0.93331357
Octane,DMSO,398.15,125.0,0.11490693,0.90163394
Octane,Acetic acid,298.15,25.0,0.01228944,0.99599582
Octane,Acetic acid,323.15,50.0,0.0175538,0.98817353
Octane,Acetic acid,348.15,75.0,0.02518169,0.97120477
Octane,Acetic acid,373.15,100.0,0.0363715,0.93982445
Octane,Acetic acid,398.15,125.0,0.05301187,0.88842745
Octane,Water,298.15,25.0,3.9983,0.99867687
Octane,Water,323.15,50.0,6.2925,0.99587714
Octane,Water,348.15,75.0,1.0739,0.98955876
Octane,Water,373.15,100.0,1.9587,0.97772978
Octane,Water,398.15,125.0,3.734,0.95878172
Decane,Methanol,298.15,25.0,0.01121625,0.9865826
Decane,Methanol,323.15,50.0,0.01538113,0.9631756
Decane,Methanol,348.15,75.0,0.02181309,0.91710656
Decane,Methanol,373.15,100.0,0.03192479,0.84094084
Decane,Methanol,398.15,125.0,0.04837698,0.7308885
Decane,Ethanol,298.15,25.0,0.07802029,0.90937645
Decane,Ethanol,323.15,50.0,0.11888197,0.79269883
Decane,Ethanol,348.15,75.0,0.21614778,0.56895115
Decane,Propanol,298.15,25.0,0.27837827,0.74733012
Decane,2-Propanol,298.15,25.0,0.35,0.6
Decane,Acetonitrile,298.15,25.0,0.00163406,0.9684107
Decane,Acetonitrile,323.15,50.0,0.00265777,0.94762262
Decane,Acetonitrile,348.15,75.0,0.00423978,0.91908425
Decane,Acetonitrile,373.15,100.0,0.00661614,0.88190789
Decane,Acetonitrile,398.15,125.0,0.01010698,0.83547852
Decane,DMF,298.15,25.0,0.15599937,0.80042774
Decane,DMF,323.15,50.0,0.20807058,0.69653705
